2026-09-10 11:46:34 | INFO    | PipelineLogger.write | revision...............: 0
2026-09-10 11:46:34 | INFO    | PipelineLogger.write | WORKSPACE RESOLVER DIAGNOSTICO - AMBIENTE
2026-09-10 11:46:34 | INFO    | PipelineLogger.write | environment.resolver...: 'production'
2026-09-10 11:46:34 | INFO    | PipelineLogger.write | environment.root_path..: WindowsPath('C:/DvpLocal/WorkSpaceTFS/OuroNet/Scc/Producao/OuroNet')
2026-09-10 11:46:34 | INFO    | PipelineLogger.write | workspace_root..........: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | project_file............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.LinkPagamento\OuroNet.Client.WinService.LinkPagamento.csproj
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - PUBLISH DE ORIGEM
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | Projeto...............: linkpagamento
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | Ambiente..............: production
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | Versao................: 10.4.8
2026-09-10 11:46:35 | INFO    | PipelineLogger.write | Revisao................: 0
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | PublishPath............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.LinkPagamento\bin\Release
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | PublishPath existe.....: True
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | ================================================================================
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | ORIGEM - ANTES DA COPIA
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | Diretorio.............: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\01-Client\OuroNet.Client.WinService.LinkPagamento\bin\Release
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | Arquivos..............: 729
2026-09-10 11:46:36 | INFO    | PipelineLogger.write | ARQUIVO...............: ADODB.dll
2026-09-10 11:46:37 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\ADODB.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\BouncyCastle.Crypto.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\BouncyCastle.Cryptography.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Custom.Framework.CommonFileDialogs.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Custom.Framework.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Custom.Framework.Entities.dll.deploy
2026-09-10 11:46:38 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Custom.Framework.Services.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Custom.Utilities.Security.EncryptionNET.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Charts.v23.2.Core.dll.deploy
2026-09-10 11:46:39 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.CodeParser.v23.2.dll.deploy
